Black Best-Sellers,,,,,,,,,,
,,,,,,,,,,
Created On : 09/27/2021,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Sales data from the years 2004 - September, 2021",,,,,,,,,,
,,,,,,,,,,
 ISBN , Title ,Type, Author ,Gender, Publisher , Format , Publication Date , Imprint , RTD Sales , YTD Sales 
9781524763138,Becoming,Non-fiction,Michelle Obama,Female,Random House,Hardcover,2018-11-13,Crown,"5,464,512","110,072"
9781524763169,A Promised Land,Non-fiction,Barack Obama,Male,Random House,Hardcover,2020-11-17,Crown,"2,866,740","285,799"
9780316346627,The Tipping Point: How Little Things Can Make a Big Difference,Non-fiction,Malcolm Gladwell,Male,Hachette Book Group,Trade Paperback,2002-01-07,Back Bay Books,"2,526,619","22,571"
9781400082773,Dreams from My Father: a Story of Race and Inheritance,Non-fiction,Barack Obama,Male,Random House,Trade Paperback,2004-08-10,Crown,"1,982,061","11,647"
9780385474542,Things Fall Apart,Fiction,Chinua Achebe,Male,Penguin Group Usa,Trade Paperback,1994-09-01,Penguin,"1,858,307","78,860"
9780316010665,Blink: the Power of Thinking Without Thinking,Non-fiction,Malcolm Gladwell,Male,Hachette Book Group,Trade Paperback,2007-04-03,Back Bay Books,"1,813,546","28,795"
9780316017930,Outliers: the Story of Success,Non-fiction,Malcolm Gladwell,Male,Hachette Book Group,Trade Paperback,2011-06-07,Back Bay Books,"1,743,343","76,594"
9780062498533,The Hate U Give,Fiction,Angie Thomas,Female,Harpercollins Publishers,Hardcover,2017-02-28,Balzer & Bray/Harperteen,"1,374,196","119,334"
9781416980063,"Dork Diaries 1, 1: Tales from a Not-So-Fabulous Life",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2009-06-02,Aladdin Paperbacks,"1,347,095","27,039"
9780812993547,Between the World and Me,Non-fiction,Ta-Nehisi Coates,Male,Random House,Hardcover,2015-07-14,One World,"1,267,047","56,492"
9780812984965,Just Mercy: a Story of Justice and Redemption,Non-fiction,Bryan Stevenson,Male,Random House,Trade Paperback,2015-08-18,One World,"1,194,974","92,957"
9780679755333,A Raisin In the Sun,Fiction,Lorraine Hansberry,Female,Random House,Trade Paperback,2004-11-29,Vintage,"1,167,242","84,790"
9780307237705,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Non-fiction,Barack Obama,Male,Random House,Trade Paperback,2007-11-06,Broadway Books,"1,110,449","9,505"
9780374531263,A Long Way Gone: Memoirs of a Boy Soldier,Non-fiction,Ishmael Beah,Male,Macmillan,Trade Paperback,2008-08-05,Sarah Crichton Books,"1,106,990","27,762"
9780393609394,Astrophysics For People In a Hurry,Non-fiction,Neil Degrasse Tyson,Male,"Norton,ww",Hardcover,2017-05-02,W. W. Norton & Company,"1,071,442","31,573"
9780060838676,Their Eyes Were Watching God,Fiction,Zora Neale Hurston,Female,Harpercollins Publishers,Trade Paperback,2006-01-01,Amistad Press,"1,032,274","30,208"
9780440413288,"Bud, Not Buddy: (Newbery Medal Winner)",Fiction,Christopher Paul Curtis,Male,Random House,Trade Paperback,2002-01-08,Yearling B,"899,518","63,092"
9780525509288,How to Be an Antiracist,Non-fiction,Ibram X. Kendi,Male,Random House,Hardcover,2019-08-13,One World,"899,027","116,981"
9781594483295,The Brief Wondrous Life of Oscar Wao,Fiction,Junot Díaz,Male,Penguin Group Usa,Trade Paperback,2008-09-02,Riverhead Books,"874,458","11,005"
9781416980087,"Dork Diaries 2, 2: Tales from a Not-So-Popular Party Girl",Fiction,Rachel Renée Russell,Female,Simon & Schuster,Hardcover,2010-06-08,Aladdin Paperbacks,"869,871","15,092"
9780064407311,Monster,Fiction,Walter Dean Myers,Male,Harpercollins Publishers,Trade Paperback,2019-03-05,Amistad Press,"862,031","32,745"
9780679732761,Invisible Man,Fiction,Ralph Ellison,Male,Random House,Trade Paperback,1995-03-14,Vintage,"856,701","32,133"
9780060557553,The Known World,Fiction,Edward P. Jones,Male,Harpercollins Publishers,Trade Paperback,2004-05-25,Amistad Press,"832,398","1,145"
